Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.7:51050-216.239.38.223:443-6,192.168.1.7,51050,216.239.38.223,443,6,21/04/2026 23:34:50,443,125260969.63882446,750,465,892651,31399,1304.0,54.0,1190.2013333333334,348.6497929607238,417.0,54.0,67.5247311827957,42.991871339496534,7376.998618678998,9.699749279470788,103180.37037794436,1051063.160842911,15008041.858673096,212.4309539794922,125260969.63882446,167237.60966465215,1336203.3774917664,15028168.439865112,257.9689025878906,125240168.33305359,269914.1558902017,1689835.9570124615,15026151.418685913,212.4309539794922,0,0,0,0,15000,9300,5.987499555228882,3.712249724241907,54.0,1304.0,760.5349794238683,611.1510022423852,373505.5475418719,0,0,0,135,1215,0,0,0,0.62,760.5349794238683,1190.2013333333334,67.5247311827957,15000,0,0,0,0,0,0,750,892651,465,31399,507,13898,750,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
18.97.36.55:443-192.168.1.7:50969-6,192.168.1.7,50969,18.97.36.55,443,6,21/04/2026 23:34:51,443,93055435.8959198,11,12,1486,1074,295.0,54.0,135.0909090909091,105.02593146928874,172.0,54.0,89.5,48.13262926539542,27.51048313677555,0.24716449693196785,4229792.540723627,12880928.723279031,44963606.119155884,363.8267517089844,93055435.8959198,9305543.58959198,17828593.3894226,44963606.119155884,2071.1421966552734,92705020.18928528,8427729.108116843,17368238.814094264,45315251.35040283,380.0392150878906,0,0,0,0,220,240,0.11820910722833244,0.1289553897036354,54.0,295.0,111.30434782608695,83.68285616468296,7002.820415879017,0,0,0,9,23,0,0,0,1.0909090909090908,111.30434782608695,135.0909090909091,89.5,220,0,0,0,0,0,0,11,1486,12,1074,509,12282,11,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
142.250.156.94:443-192.168.1.7:59068-17,192.168.1.7,59068,142.250.156.94,443,17,21/04/2026 23:34:52,443,815166.711807251,8,11,3647,5030,1292.0,73.0,455.875,509.4711565682595,1292.0,63.0,457.27272727272725,482.33053376460924,10644.448398491162,23.308115658791298,45287.03954484728,94598.5441166062,275276.18408203125,279.42657470703125,539890.5277252197,77127.21824645996,114463.96497990261,260475.63552856445,283.4796905517578,558712.9592895508,55871.29592895508,100801.82913571871,275555.6106567383,293.97010803222656,0,0,0,0,160,220,9.813943435280546,13.494172223510752,63.0,1292.0,456.6842105263158,493.9404452309034,243977.16343490305,0,0,0,0,0,0,0,0,1.375,456.6842105263158,455.875,457.27272727272725,160,0,0,0,0,0,0,8,3647,11,5030,0,0,8,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
140.82.113.25:443-192.168.1.7:51134-6,192.168.1.7,51134,140.82.113.25,443,6,21/04/2026 23:34:52,443,120277601.24206543,5,7,332,465,84.0,55.0,66.4,13.965672200076874,80.0,54.0,66.42857142857143,9.648939880439018,6.626337670269901,0.0997691995523699,10934327.385642312,16929623.911460377,45012033.70094299,649.6906280517578,120003837.8238678,30000959.45596695,15297404.301510092,45312555.78994751,14686922.788619995,119996131.89697266,19999355.31616211,18786991.554980155,45285797.119140625,272772.07374572754,0,0,0,0,100,140,0.04157049981348746,0.05819869973888244,54.0,84.0,66.41666666666667,11.643727448239627,135.57638888888889,0,0,0,4,12,0,0,0,1.4,66.41666666666667,66.4,66.42857142857143,100,0,0,0,0,0,0,5,332,7,465,508,73,5,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.64.148.235:443-192.168.1.7:50952-6,172.64.148.235,443,192.168.1.7,50952,6,21/04/2026 23:34:53,50952,120020302.77252197,18,11,1236,838,78.0,54.0,68.66666666666667,11.69995251652283,82.0,66.0,76.18181818181819,7.696731086733354,17.28040966477908,0.2416257860552523,4286439.384732928,8211618.805297284,21993800.163269043,272.7508544921875,120020302.77252197,7060017.810148351,9564559.60818581,21993800.163269043,470.3998565673828,120000456.09474182,12000045.609474182,9839144.735796241,22018673.65837097,272.7508544921875,0,0,0,0,360,220,0.14997462582739798,0.09165116022785433,54.0,82.0,71.51724137931035,10.987832422981755,120.73246135552911,0,0,0,18,29,0,0,0,0.6111111111111112,71.51724137931035,68.66666666666667,76.18181818181819,360,0,0,0,0,0,0,18,1236,11,838,17,508,18,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:51026-34.54.84.110:443-6,192.168.1.7,51026,34.54.84.110,443,6,21/04/2026 23:34:55,443,119866421.22268677,58,99,9896,79399,1304.0,54.0,170.6206896551724,314.844834667437,1304.0,54.0,802.010101010101,592.8502203224297,744.954250649634,1.3097913360433677,768374.4950172228,4702164.557366829,29999734.40170288,218.1529998779297,119848950.14762878,2102613.1604847154,7600174.957127952,30015024.662017822,257.25364685058594,119846867.56134033,1222927.220013677,5891057.856345904,30027503.967285156,218.1529998779297,0,0,0,0,1160,1980,0.4838719585383142,0.8259193775050536,54.0,1304.0,568.7579617834394,592.5496501680826,351115.0879143171,0,0,0,65,157,0,0,0,1.706896551724138,568.7579617834394,170.6206896551724,802.010101010101,1160,0,0,0,0,0,0,58,9896,99,79399,512,917,58,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.64.148.235:443-192.168.1.7:51143-6,172.64.148.235,443,192.168.1.7,51143,6,21/04/2026 23:34:55,51143,120044988.15536499,14,7,924,574,78.0,54.0,66.0,12.0,82.0,82.0,82.0,0.0,12.4786550693916,0.1749344168606299,6002249.4077682495,9147474.095238524,19987724.06578064,321.6266632080078,120044988.15536499,9234229.858105,9944240.139919722,19987724.06578064,20139.217376708984,120002404.21295166,20000400.70215861,10174.053563601552,20014441.01333618,19983488.79814148,0,0,0,0,280,140,0.11662294457375327,0.05831147228687664,54.0,82.0,71.33333333333333,12.364824660660938,152.88888888888889,0,0,0,14,21,0,0,0,0.5,71.33333333333333,66.0,82.0,280,0,0,0,0,0,0,14,924,7,574,16,509,14,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:50809-8.8.8.8:443-17,192.168.1.7,50809,8.8.8.8,443,17,21/04/2026 23:34:57,443,4191519.021987915,21,27,5232,8774,1292.0,73.0,249.14285714285714,348.0560006548325,1292.0,64.0,324.962962962963,379.69602671391226,3341.5093493616937,11.451695613976959,89181.25578697691,524336.4593807516,3627906.560897827,259.8762512207031,4191519.021987915,209575.95109939575,788010.9559172918,3627906.560897827,259.8762512207031,4143173.6946105957,159352.83440809982,706129.0802629961,3668997.7645874023,261.3067626953125,0,0,0,0,420,540,5.01011683111492,6.44157878286204,64.0,1292.0,291.7916666666667,368.1166571399464,135509.87326388888,0,0,0,0,0,0,0,0,1.2857142857142858,291.7916666666667,249.14285714285714,324.962962962963,420,0,0,0,0,0,0,21,5232,27,8774,0,0,21,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
160.79.104.10:443-192.168.1.7:49332-17,192.168.1.7,49332,160.79.104.10,443,17,21/04/2026 23:34:57,443,627017.2595977783,21,15,18881,6456,1292.0,85.0,899.0952380952381,519.7932652014191,1242.0,66.0,430.4,467.158616888668,40408.77601400205,57.414687473026554,17914.77884565081,53132.82065689368,242252.58827209473,440.1206970214844,627017.2595977783,31350.862979888912,71887.23233221799,264716.38679504395,440.1206970214844,594949.7222900391,42496.408735002784,88986.29499793041,260559.3204498291,532.8655242919922,0,0,0,0,420,300,33.49190102593216,23.922786447094396,66.0,1292.0,703.8055555555555,549.4846484279835,301933.37885802466,0,0,0,0,0,0,0,0,0.7142857142857143,703.8055555555555,899.0952380952381,430.4,420,0,0,0,0,0,0,21,18881,15,6456,0,0,21,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
18.97.36.2:443-192.168.1.7:51153-6,192.168.1.7,51153,18.97.36.2,443,6,21/04/2026 23:34:57,443,92038009.64355469,11,11,1511,1007,294.0,54.0,137.36363636363637,103.24135246839869,172.0,54.0,91.54545454545455,49.57888780219338,27.358262197886766,0.23903167925079782,4382762.363978794,12291898.833876356,44965346.813201904,411.03363037109375,92038009.64355469,9203800.964355469,16530900.705648048,44965346.813201904,411.03363037109375,91682256.93702698,9168225.693702698,16658180.022944216,45322229.862213135,707.1495056152344,0,0,0,0,220,220,0.11951583962539891,0.11951583962539891,54.0,294.0,114.45454545454545,84.1620338031603,7083.247933884297,0,0,0,10,22,0,0,0,1.0,114.45454545454545,137.36363636363637,91.54545454545455,220,0,0,0,0,0,0,11,1511,11,1007,508,12322,11,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
