Timestamp,Flow_ID,Prediction,Confidence,Is_Malicious,Severity_Score,Recommended_Action,Src_IP,Src_Port,Src_Country,Src_Country_Name,Src_City,Src_Latitude,Src_Longitude,Dst_IP,Dst_Port,Protocol,Protocol_Number,Duration,Total_Packets,Total_Bytes,Fwd_Packets,Bwd_Packets,Flow_Bytes_Per_Sec,Flow_Packets_Per_Sec
2026-04-24 00:07:42,192.168.1.7:57307-20.189.173.17:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57307,LCL,Local Network,Internal,0.0,0.0,20.189.173.17,443,TCP,6,2.542961597442627,21,11080,11,10,4357.124390373332,8.258087743487362
2026-04-24 00:07:45,104.26.12.38:443-192.168.1.7:57338-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57338,LCL,Local Network,Internal,0.0,0.0,104.26.12.38,443,TCP,6,6.183732986450195,33,11089,15,18,1793.253367229509,5.336582299447542
2026-04-24 00:07:45,104.26.12.38:443-192.168.1.7:57349-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57349,LCL,Local Network,Internal,0.0,0.0,104.26.12.38,443,TCP,6,5.694146156311035,27,6859,13,14,1204.5704152496883,4.741711796434113
2026-04-24 00:07:45,104.26.12.38:443-192.168.1.7:57350-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57350,LCL,Local Network,Internal,0.0,0.0,104.26.12.38,443,TCP,6,5.662098407745361,27,6879,13,14,1214.9206009189104,4.7685501126341885
2026-04-24 00:06:28,172.217.24.65:443-192.168.1.7:57214-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57214,LCL,Local Network,Internal,0.0,0.0,172.217.24.65,443,TCP,6,90.08223390579224,49,20524,20,29,227.83626815320704,0.5439474341993347
2026-04-24 00:08:11,192.168.1.7:57412-34.54.84.110:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57412,LCL,Local Network,Internal,0.0,0.0,34.54.84.110,443,TCP,6,0.48959779739379883,26,8319,14,12,16991.49800976079,53.104814070655195
2026-04-24 00:04:30,192.168.1.7:56756-216.239.34.223:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,56756,LCL,Local Network,Internal,0.0,0.0,216.239.34.223,443,TCP,6,242.68709206581116,54,13060,24,30,53.81415174919327,0.22250874383280525
2026-04-24 00:08:30,104.208.16.90:443-192.168.1.7:57463-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57463,LCL,Local Network,Internal,0.0,0.0,104.208.16.90,443,TCP,6,1.644597053527832,31,13545,17,14,8236.059994723062,18.849602055106306
2026-04-24 00:08:29,192.168.1.7:57462-34.54.84.110:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57462,LCL,Local Network,Internal,0.0,0.0,34.54.84.110,443,TCP,6,14.76272988319397,39,9888,17,22,669.7948196733311,2.6417878203135023
2026-04-24 00:07:52,192.168.1.7:57361-52.123.129.14:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57361,LCL,Local Network,Internal,0.0,0.0,52.123.129.14,443,TCP,6,67.93243503570557,13,2948,7,6,43.39605960614424,0.19136661291718965
2026-04-24 00:09:12,192.168.1.7:57542-34.54.84.110:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57542,LCL,Local Network,Internal,0.0,0.0,34.54.84.110,443,TCP,6,0.5055782794952393,124,87822,43,81,173706.03833629875,245.26370105100142
2026-04-24 00:09:17,192.168.1.7:57547-20.50.80.209:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57547,LCL,Local Network,Internal,0.0,0.0,20.50.80.209,443,TCP,6,1.1060538291931152,28,9444,14,14,8538.463274332276,25.315223600307473
2026-04-24 00:07:37,192.168.1.7:57304-52.168.117.168:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57304,LCL,Local Network,Internal,0.0,0.0,52.168.117.168,443,TCP,6,126.23042893409729,25,10584,11,14,83.84666113687788,0.19805050344122704
2026-04-24 00:08:42,192.168.1.7:57504-199.232.210.172:80-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57504,LCL,Local Network,Internal,0.0,0.0,199.232.210.172,80,TCP,6,60.647143840789795,14,1754,7,7,28.921394956448093,0.23084351732626757
2026-04-24 00:09:29,192.168.1.7:57581-34.54.84.110:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57581,LCL,Local Network,Internal,0.0,0.0,34.54.84.110,443,TCP,6,15.028913259506226,138,80236,53,85,5338.7759057860285,9.182300650561741
2026-04-24 00:10:12,192.168.1.7:57636-34.54.84.110:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57636,LCL,Local Network,Internal,0.0,0.0,34.54.84.110,443,TCP,6,0.5066030025482178,101,76940,29,72,151874.34660472025,199.36715631760782
2026-04-24 00:10:15,192.168.1.7:57638-23.215.215.3:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57638,LCL,Local Network,Internal,0.0,0.0,23.215.215.3,443,TCP,6,0.1285257339477539,27,7843,11,16,61022.79877419881,210.07466108674845
2026-04-24 00:06:28,192.168.1.7:57212-216.239.38.223:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57212,LCL,Local Network,Internal,0.0,0.0,216.239.38.223,443,TCP,6,240.19159126281738,54,11635,27,27,48.440496766887215,0.224820526464281
2026-04-24 00:07:36,192.168.1.7:57298-52.168.117.168:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57298,LCL,Local Network,Internal,0.0,0.0,52.168.117.168,443,TCP,6,187.00507473945618,128,56028,69,59,299.6068426381515,0.6844734036139678
2026-04-24 00:10:29,192.168.1.7:57648-34.54.84.110:443-6,Anomaly,1.0000,True,8.0,block,192.168.1.7,57648,LCL,Local Network,Internal,0.0,0.0,34.54.84.110,443,TCP,6,15.3755042552948,34,9501,17,17,617.9309531736612,2.2113095892963353
